,neighborhood,neighborhood_no,area,Year,Indicator Name,Value
5,Roosevelt,202,170.2117761,2000,10_year_growth_kids,-14.0
6,South Lake Union,312,339.886927,2000,10_year_growth_kids,42.0
7,University District,401,751.9638778,2000,10_year_growth_kids,-33.0
8,Crown Hill,103,270.9887543,2000,10_year_growth_kids,65.0
9,Westwood-Highland Park,127,275.0621961,2000,10_year_growth_kids,121.0
10,Lake City,201,142.2670425,2000,10_year_growth_kids,141.0
11,Greater Duwamish,502,4953.281793,2000,10_year_growth_kids,65.0
12,Madison-Miller,131,145.3234203,2000,10_year_growth_kids,-146.0
13,Green Lake,207,107.4446385,2000,10_year_growth_kids,-9.0
14,Northgate,301,412.2911233,2000,10_year_growth_kids,246.0
15,North Beacon Hill,110,266.8762908,2000,10_year_growth_kids,-9.0
16,Ballard-Interbay-Northend,501,931.9728637,2000,10_year_growth_kids,-41.0
17,Greenwood-Phinney Ridge,102,94.15764497,2000,10_year_growth_kids,95.0
18,Downtown,413,953.2817465,2000,10_year_growth_kids,479.0
19,Uptown,412,333.000698,2000,10_year_growth_kids,-25.0
20,Rainier Beach,204,346.1438736,2000,10_year_growth_kids,34.0
21,23rd & Union-Jackson,109,625.2664128,2000,10_year_growth_kids,67.0
22,Bitter Lake Village,114,363.7795662,2000,10_year_growth_kids,17.0
23,Mt Baker,305,491.0180584,2000,10_year_growth_kids,85.0
24,Admiral,113,98.24835065,2000,10_year_growth_kids,14.0
25,Aurora-Licton Springs,101,326.9585992,2000,10_year_growth_kids,-9.0
26,Morgan Junction,206,113.3093773,2000,10_year_growth_kids,52.0
27,Eastlake,107,199.2559558,2000,10_year_growth_kids,-26.0
28,Wallingford,203,258.0056129,2000,10_year_growth_kids,29.0
29,Ballard,303,495.4763052,2000,10_year_growth_kids,-59.0
30,South Park,128,263.7986201,2000,10_year_growth_kids,217.0
31,Othello,123,498.9632413,2000,10_year_growth_kids,-250.0
0,Upper Queen Anne,106,52.65872029,2010,10_year_growth_kids,10.0
1,Fremont,302,214.511083,2010,10_year_growth_kids,44.0
2,West Seattle Junction,205,270.4170255,2010,10_year_growth_kids,4.0
3,Columbia City,111,334.5433404,2010,10_year_growth_kids,-455.0
4,First Hill/Capitol Hill,414,916.2218015,2010,10_year_growth_kids,-95.0
5,Roosevelt,202,170.2117761,2010,10_year_growth_kids,52.0
6,South Lake Union,312,339.886927,2010,10_year_growth_kids,36.0
7,University District,401,751.9638778,2010,10_year_growth_kids,-107.0
8,Crown Hill,103,270.9887543,2010,10_year_growth_kids,103.0
9,Westwood-Highland Park,127,275.0621961,2010,10_year_growth_kids,2.0
10,Lake City,201,142.2670425,2010,10_year_growth_kids,113.0
11,Greater Duwamish,502,4953.281793,2010,10_year_growth_kids,-78.0
12,Madison-Miller,131,145.3234203,2010,10_year_growth_kids,116.0
13,Green Lake,207,107.4446385,2010,10_year_growth_kids,69.0
14,Northgate,301,412.2911233,2010,10_year_growth_kids,141.0
15,North Beacon Hill,110,266.8762908,2010,10_year_growth_kids,-189.0
16,Ballard-Interbay-Northend,501,931.9728637,2010,10_year_growth_kids,1.0
17,Greenwood-Phinney Ridge,102,94.15764497,2010,10_year_growth_kids,19.0
18,Downtown,413,953.2817465,2010,10_year_growth_kids,-22.0
19,Uptown,412,333.000698,2010,10_year_growth_kids,75.0
20,Rainier Beach,204,346.1438736,2010,10_year_growth_kids,-106.0
21,23rd & Union-Jackson,109,625.2664128,2010,10_year_growth_kids,-290.0
22,Bitter Lake Village,114,363.7795662,2010,10_year_growth_kids,201.0
23,Mt Baker,305,491.0180584,2010,10_year_growth_kids,30.0
24,Admiral,113,98.24835065,2010,10_year_growth_kids,39.0
25,Aurora-Licton Springs,101,326.9585992,2010,10_year_growth_kids,63.0
26,Morgan Junction,206,113.3093773,2010,10_year_growth_kids,25.0
27,Eastlake,107,199.2559558,2010,10_year_growth_kids,86.0
28,Wallingford,203,258.0056129,2010,10_year_growth_kids,224.0
29,Ballard,303,495.4763052,2010,10_year_growth_kids,72.0
30,South Park,128,263.7986201,2010,10_year_growth_kids,0.0
31,Othello,123,498.9632413,2010,10_year_growth_kids,671.0
0,Upper Queen Anne,106,52.65872029,2020,10_year_growth_kids,65.0
1,Fremont,302,214.511083,2020,10_year_growth_kids,124.0
2,West Seattle Junction,205,270.4170255,2020,10_year_growth_kids,239.0
3,Columbia City,111,334.5433404,2020,10_year_growth_kids,510.0
4,First Hill/Capitol Hill,414,916.2218015,2020,10_year_growth_kids,108.0
5,Roosevelt,202,170.2117761,2020,10_year_growth_kids,132.0
6,South Lake Union,312,339.886927,2020,10_year_growth_kids,391.0
7,University District,401,751.9638778,2020,10_year_growth_kids,484.0
8,Crown Hill,103,270.9887543,2020,10_year_growth_kids,180.0
9,Westwood-Highland Park,127,275.0621961,2020,10_year_growth_kids,-146.0
10,Lake City,201,142.2670425,2020,10_year_growth_kids,115.0
11,Greater Duwamish,502,4953.281793,2020,10_year_growth_kids,110.0
12,Madison-Miller,131,145.3234203,2020,10_year_growth_kids,32.0
13,Green Lake,207,107.4446385,2020,10_year_growth_kids,102.0
14,Northgate,301,412.2911233,2020,10_year_growth_kids,36.0
15,North Beacon Hill,110,266.8762908,2020,10_year_growth_kids,54.0
16,Ballard-Interbay-Northend,501,931.9728637,2020,10_year_growth_kids,138.0
17,Greenwood-Phinney Ridge,102,94.15764497,2020,10_year_growth_kids,36.0
18,Downtown,413,953.2817465,2020,10_year_growth_kids,874.0
19,Uptown,412,333.000698,2020,10_year_growth_kids,374.0
20,Rainier Beach,204,346.1438736,2020,10_year_growth_kids,193.0
21,23rd & Union-Jackson,109,625.2664128,2020,10_year_growth_kids,89.0
22,Bitter Lake Village,114,363.7795662,2020,10_year_growth_kids,332.0
23,Mt Baker,305,491.0180584,2020,10_year_growth_kids,26.0
24,Admiral,113,98.24835065,2020,10_year_growth_kids,17.0
25,Aurora-Licton Springs,101,326.9585992,2020,10_year_growth_kids,29.0
26,Morgan Junction,206,113.3093773,2020,10_year_growth_kids,26.0
27,Eastlake,107,199.2559558,2020,10_year_growth_kids,138.0
